author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
giorgi20202,Cash only,$$$$$only😳,Cash only,$$$$$only😳,1.00,UA,2.39,2020-07-14T11:26:51,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LdV_3YCGtlfJk9eY_nVTlzg,"en;roa_rup"
残念なばば,After all...,"I chose iPad Pro. After all it was not possible to use it for free.
I rented it because my computer was broken, so I returned it to iPad Pro.
……I used it once a month for the calculation data sent to the company…
Was it 1260 yen once a month?
It's expensive.........
When I see it on my cell phone, it says it's free...
sad…
For such people, neither iPad Pro nor Excel
I didn't need it",やっぱり…,"iPad Proにしました。やっぱり無料で使えなかったんですね。
パソコン壊れて借りていたので、iPad Proにして返してしまいました。
……月に１度　会社に送る計算資料に使っていたのですが…
月に１度が1260円でしたっけ？
高いなぁ………
携帯で見たら、無料って書いてるのに…
悲しいです…
こんな人には、iPad Proもエクセルも
必要ではなかったんだなぁ",1.00,JP,2.39,2020-07-14T07:21:10,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L9nZmzPfqxtN8w83iKwLETA,ja
Zd factory,I’m so exited about getting Exel...,I’m so exited about getting Exel because I’ve tried out Microsoft word and I can’t write.,I’m so exited about getting Exel...,I’m so exited about getting Exel because I’ve tried out Microsoft word and I can’t write.,1.00,AU,2.39,2020-07-14T06:58:04,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LmMT4g-R9lTXdfwR6-g0Krg,"en;af"
Kumannba,You should fix that you can not open data,"First of all, we cannot start without the underlying problems. Untrustworthy application start",データ開けなくなるのを修正すべき,まず根本的な問題がなくならないと始まりません。信用出来ないアプリ開始です,1.00,JP,2.39,2020-07-13T23:49:16,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LwxaFbLMhR20NuAYvBGRGRA,ja
Oranjeham,"Way too expensive for exel only, Microsoft shame on you !!","Great app for the iPad, but it no longer works unless you pay, make it free as before!","Veel te duur voor alleen exel, Microsoft schaam je!!","Prima app voor de iPad, alleen werkt het niet meer tenzij je betaald, maak het gratis zoals vroeger!",1.00,NL,2.39,2020-07-13T18:17:41,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LkL_ZgAzLV45w8vHyQq-xzw,nl
yasukegroovy,Worship Microsoft,"There are many doubts about the policy of paying firmly even though there are many bugs.
Especially on the iPad, you can only edit it if you use paid software.",拝金主義のマイクロソフト,"バクも多いのにしっかり課金する方針に疑問有り。
特にiPadでは有償ソフトにしないと編集できないようになってます。",1.00,JP,2.38,2020-07-12T11:33:43,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L2J3rAWi6nwPrE0U4a0B9jg,ja
Kumannba,OneDrive data has disappeared,"I thought it was suspicious, but it disappeared as soon as I began to trust.
Untrustworthy software that does not know what will happen.",ワンドライブデータ消えました,"怪しいなとは思っていましたが、だんだん信用し始めた矢先に消えました。
何が起きるかわからない、信用の無いソフトです。",1.00,JP,2.38,2020-07-12T10:13:01,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L4DrAUs3g5uueHyJU-bo4QA,ja
ONac1009,Congratulations,I solve many problems 👍,Muchas felicidades,Me soluciono muchos problemas 👍,1.00,BO,2.38,2020-07-11T22:08:07,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lt7VDyZjBSW6XWbBVoOXh8g,"es;gl;pt;an;ca"
Qwshdnncjfnd,10.2 Screen makes program redundant,The decision to not make Excel available on 10.2 screens is fairly cynical and very disappointing. I kept my household accounts on my old IPad and will now be forced to use an inferior Spreadsheet.,10.2 Screen makes program redundant,The decision to not make Excel available on 10.2 screens is fairly cynical and very disappointing. I kept my household accounts on my old IPad and will now be forced to use an inferior Spreadsheet.,1.00,GB,2.38,2020-07-11T11:50:51,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Ljd8UPnF-G0b9iJjGbsU9Dg,en
Irish Lois,USELESS,"I’ve been using Microsoft Excel and enjoyed the use of VBA programming in my office work. 
And when I installed Microsoft Excel in iPad, all the functions and features are so simple which is very common to Numbers for IOS. It’s not worth to purchase this app for iPad.",USELESS,"I’ve been using Microsoft Excel and enjoyed the use of VBA programming in my office work. 
And when I installed Microsoft Excel in iPad, all the functions and features are so simple which is very common to Numbers for IOS. It’s not worth to purchase this app for iPad.",1.00,PH,2.38,2020-07-11T07:52:07,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lrl6vskJlJSL6lxAt5--FzA,en
有料って、、、,"If you change to an iPad, you will be charged...","It's so disappointing that I think it is a scam. Moreover, if the price is annual, is it still monthly? ? The star is zero w",iPadに変えたら有料って、、、,正直詐欺かよって思うほどのガッカリ度です。しかも値段が年額ならまだしも月額で？？星、ゼロですw,1.00,JP,2.38,2020-07-11T02:28:06,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L0WnJ5O9zVZUal9xM4tCMwg,ja
jcwbac,Unable create free account as described,"Perhaps there i a wat to do this through the app, but I only see the option to sign up for a free trial",Unable create free account as described,"Perhaps there i a wat to do this through the app, but I only see the option to sign up for a free trial",1.00,US,2.38,2020-07-10T18:37:39,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LHo3RXxlp9wZQEwoc-TISCA,en
Mr Specktor,Not working,"How to break: type any number into A2, go to A13 and put in =A2-(A3:A12) and watch cells A13:A22 all populate with what should only be in A13...",Not working,"How to break: type any number into A2, go to A13 and put in =A2-(A3:A12) and watch cells A13:A22 all populate with what should only be in A13...",1.00,US,2.38,2020-07-10T15:44:08,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LXmrEEYw3JfIVEjOzsrzDkg,en
do van thuong,The login management section,as my children taught. Sign in,Phần quản lý đăng nhập,như con cac ta dạy đó. dăng nhập déo dô,1.00,VN,2.38,2020-07-10T13:13:56,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LzJwREJmFqQTe4ksp9hpuQA,vi
떼룍,Hello. Please refund.,"I canceled to not pay, but it was paid? Please make a quick refund. ㅡ,ㅡ",안녕하세요. 환불해주세요.,"결제안하려고 취소했는데 결제 되었네요? 빠른 환불해주세요. ㅡ,ㅡ",1.00,KR,2.38,2020-07-10T12:23:22,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Ll7mayM9TMCEKSrKtsOmjDA,ko
FWesdijk,Hang on startup,"Takes ages to boot, often won't boot (iPad Pro 11, 2020). Often has to go through the browser because the app refuses to start.",Vastlopen bij opstarten,"Duurt eeuwen om op te starten, start vaak ook niet op (iPad Pro 11, 2020). Moet vaak via de browser omdat de app weigert op te starten.",1.00,NL,2.38,2020-07-10T09:44:26,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LEXgniSVUl931DSVrd00inQ,"nl;af"
站在阳光下发呆。,All files stored in the cloud cannot be opened,"First of all, I always reminded me that I couldn’t upload, and all the files couldn’t be opened until yesterday, which reminded me that I was locked or not authorized.",云端存储的文件全都打不开,先是总提醒我无法上传，到昨天为止所有文件打不开，提示我被锁定或者无权限,1.00,CN,2.38,2020-07-10T00:59:19,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L92OyFUhllMmeYSkxW9fafQ,zh
Mayito_123,Urgent! Help to access files,What happened to the last update !!!! I can't access my files !!!,Urgente! Ayuda para acceder a archvios,Qué pasó con la ultima actualización!!!! No puedo acceder a mis archivos!!!,1.00,MX,2.38,2020-07-09T22:10:24,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LB2Zv61ZJHKPV9R8FIuKt-A,"es;gl;an"
oregon scientist,grovels for feedback.,grovels for feedback. grovels for feedback. grovels for feedback. grovels for feedback. grovels for feedback.,grovels for feedback.,grovels for feedback. grovels for feedback. grovels for feedback. grovels for feedback. grovels for feedback.,1.00,US,2.38,2020-07-09T12:39:28,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LX-K2ZzNNaALyl6pz8CqLmQ,"en;da;no;ca;nl"
Dléo,We absolutely have to pay,With the free version you can do almost nothing except read the file ...,On doit absolument payer,Avec la version gratuite on peut quasiment rien faire à part lire le fichier...,1.00,FR,2.38,2020-07-09T09:17:45,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LT7Yqvdk-LFdSkOAYrrTqFw,"fr;oc;pms"
nailyigittas,Force Close,"On my 3rd Gen Ipad Pro 12.9 with IpadOS 13.5.1, app constantly freezes and forces shutdown, makes impossible to work on sheets. Having this problem since last week. Need patch or new update asap.",Force Close,"On my 3rd Gen Ipad Pro 12.9 with IpadOS 13.5.1, app constantly freezes and forces shutdown, makes impossible to work on sheets. Having this problem since last week. Need patch or new update asap.",1.00,TR,2.38,2020-07-09T06:29:39,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LOeqXnQWOVUR1bKB1ipeiyg,en
RX－0,All functions are locked,"I personally belong to the group with few usages (from 2 to 5 a month). After the latest update,
All functions are changed to ""subscription"" to use, which for me personally has no use value, so delete the App.
Find other alternative apps!",所有的功能都鎖了,"我個人屬於使用次數少的（一個月2～5），在最近的更新後，
所有功能都改為「訂閱」才能使用，這對我個人而言，就沒有使用價值，所以刪除App。
尋找其他替代App！",1.00,TW,2.38,2020-07-08T21:45:16,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lnh-0cQkXOHVkggvyxXhajg,"zh;zh_yue"
The Great GoldenJoe,"Requires subscription, but free in browser?","For whatever reason, to edit and save in the iPad app, you need a subscription. Why not just use the free browser version on OneDrive?","Requires subscription, but free in browser?","For whatever reason, to edit and save in the iPad app, you need a subscription. Why not just use the free browser version on OneDrive?",1.00,US,2.38,2020-07-08T21:07:30,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LEkCOWi29jzjaoYQipInElA,en
Jazmin Bieber.,Worst app,"By a landslide, the most impossible app to use. It never works and it’s impossible to figure out",Worst app,"By a landslide, the most impossible app to use. It never works and it’s impossible to figure out",1.00,CA,,2020-07-08T19:38:09,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382La1m_hlbKB819Et9BBnDRgQ,en
Rcoriel,Not refreshing shared Excel one drive documents anymore,Not sure what happens. Only a reinstallation works but it's not refreshing after closing the app,Not refreshing shared Excel one drive documents anymore,Not sure what happens. Only a reinstallation works but it's not refreshing after closing the app,1.00,US,2.38,2020-07-08T19:08:39,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LkctuPbf8ejX0lYT8WppWbw,en
あのー,Punctuation (.) I want you to solve the problem immediately! ️,"Although it has reached a level where it can be used without problems, it is a big problem that punctuation marks (.) Become periods (.).
* Do not enter a punctuation mark (.) by itself. With the key of "","" it will be quite a bit for the time being, but please proceed to the fundamental solution quickly. The stress accumulates.",句点（。）問題を即座に解決して欲しい‼️,"ほぼ問題なく使えるレベルになってきたものの、句点（。）がピリオド（．）になるのは大問題です。
※句点（。）を単独で入力せず、文末に続けて打つか、control＋『。』のキーで、とりあえず何とかなりますが、根本的な解決を早く進めて下さい。ストレスが溜まりまくりです。",1.00,JP,2.38,2020-07-08T18:25:18,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LIAjZiA8vGQNxqakBunTITQ,ja
"°,:",Bad review,"Wow, download it, nothing happens",差评,好垃圾哇，下载下来，完全没反应,1.00,CN,2.38,2020-07-08T15:17:23,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LvJsvu3Xj3O9Kqdl_Eq7xtQ,zh
12345678910☆♪☆♪☆,suddenly,"I suddenly can't sign in...
Worst 3 days to use",急に,"急にサインイン出来なくなった...
使い始めて3日最悪",1.00,JP,2.38,2020-07-08T14:44:42,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LU-vHh7mHFA5L9yNRln1KyA,ja
sendocc,Robin Phillips,Awful- every file I open on iPhone and iPad says corrupted- no issue on Mac,Robin Phillips,Awful- every file I open on iPhone and iPad says corrupted- no issue on Mac,1.00,GB,2.38,2020-07-08T11:48:41,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LTt6Sis1N_-krWlKVCuFhrw,"en;la"
MinKim0101,Stuck,In is frozen,Bị đơ,Vào là bị đơ,1.00,VN,2.38,2020-07-08T06:44:16,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Ln8oybsDwQNznXes5KJ9jQQ,vi
QQ2013真心垃圾,Touchpad mouse adapter,"iPadOS 14 is coming out, don’t adapt to the mouse function, hurry up, don’t bother",触摸板鼠标适配,iPadOS 14 都要出来了，还不适配鼠标功能，赶快，别磨磨唧唧,1.00,CN,2.38,2020-07-07T16:10:12,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LcFcbFlUDUjv2W7gjU9t3uw,"zh;zh_yue"
Praveesh.com,Doesn’t open after installation,Doesn’t open after installation,Doesn’t open after installation,Doesn’t open after installation,1.00,IN,2.38,2020-07-07T08:24:41,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L31yhig6TvdTrpQEbydbPIg,"en;sv;da;nl;la"
Anirudh vunnava,Not able to open excel sheet,I am not able to open outlook files and other saved files in excel for iphone,Not able to open excel sheet,I am not able to open outlook files and other saved files in excel for iphone,1.00,IN,2.38,2020-07-06T04:26:04,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Li0qKhRnF05qMj3CYqnkavQ,en
Yankex64,Free just to watch,"I wish they had given the option to edit the files. Free only to view, and for that there are a thousand applications including Word and Excel that are also free to view documents. They should clarify it in the description of the App",Gratis solo para ver,"Me hubiera gustado que dieran la opción de editar los archivos. Gratis solamente para visualizar, y para eso existen mil aplicaciones incluso Word y Excel que también son gratis para visualizar documentos. Deberían aclararlo en la descripción de la App",1.00,AR,2.38,2020-07-06T03:09:02,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lk_ouFYPhzY3VW2nrcpGdtA,"es;gl"
Panostelthan,Payment,Why while he is free he asks me to pay ????,Πληρωμή,Γιατί ενώ είναι free μου ζητάει να πληρώσω????,1.00,GR,2.38,2020-07-05T09:10:53,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lf8Rd__j0T3-jbRjrSHQiuQ,el
Jorge_mhz,Very good.,Crashea in Premium version when opening files with complex forms.,Muy buena.,Crashea en versión Premium al abrir archivos con formularios complejos.,1.00,MX,2.38,2020-07-05T06:44:00,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LRmjACVAF_jyGTbMhy5DuWg,"es;gl;an;ca"
อยากรู้ทุกเรื่อง,Blocked,"Ice-cream, my secret.",ปลอคเฉย,ไอสัส อยู่ดีๆปลอคของกู,1.00,TH,2.38,2020-07-04T23:31:16,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LzzRqGHSXv9g-WotuqZDS-Q,th
_íɑʍեհҽϲմեҽտե,error,"Why enter the correct phone number to register an account and still report the wrong format. The password is correct, the message is still wrong forever.",lỗi,"sao nhập đúng số điện thoại để đăng ký tài khoản rồi vẫn báo sai định dạng vậy. password thì nhập đúng rồi vẫn báo sai mãi, bị mấy lần rồi.",1.00,VN,2.38,2020-07-04T18:14:22,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LS0ZDlpQMJJDfV516ol7OEw,vi
george46,F*ck 365 subscription!,F*ck 365 subscription! Will never ever happen!,F*ck 365 subscription!,F*ck 365 subscription! Will never ever happen!,1.00,US,2.38,2020-07-04T17:37:40,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LFlESGUuHDaOoOX96KLcGjA,"en;la"
兼兼ぱ,You can not do it unless you purchase,"Android can edit and save without buying Microsoft 365, but Apple can't. Can't you manage that?",購入しないとできない,Androidのほうは、Microsoft365を購入しなくても、編集や保存はできますが、Appleのほうはそれができません。そこをなんとかできませんか？,1.00,JP,2.38,2020-07-04T12:57:28,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LWEgK3eKyCXHnFswdEziZlg,ja
Terje.H,Log in for your ..,Log in for that. Feels like MS should snoop on everything. Rather use PC.,Logg inn for ditt..,Logg inn for datt. Føler at MS skal snoke i alt. Bruker heller pc.,1.00,NO,2.38,2020-07-04T07:46:56,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LlquGTFKUGMXFHX-Wb3IuVA,"nn;no;da;sv"
nickgovier,Huge file save bug will lose your data,"If you open this app on iPhone and open a spreadsheet from iCloud, then some time later (say, a couple of days) open the same spreadsheet on iPad, edit it and save it, when you next open the iPhone app it will a) still show the old data it had in memory from two days ago, then b) overwrite the file in the cloud, losing the changes you made on the iPad, by saving the old version from the iPhone. So you end up losing two days of wok. This has happened to me multiple times.
AS AN ABSOLUTE MINIMUM this app should check the last edited date of files in the cloud before overwriting newer changes with old versions. It should check for new changes to files when you open the app, instead of displaying stale data. Ideally it would offer the ability to merge the changes on save.",Huge file save bug will lose your data,"If you open this app on iPhone and open a spreadsheet from iCloud, then some time later (say, a couple of days) open the same spreadsheet on iPad, edit it and save it, when you next open the iPhone app it will a) still show the old data it had in memory from two days ago, then b) overwrite the file in the cloud, losing the changes you made on the iPad, by saving the old version from the iPhone. So you end up losing two days of wok. This has happened to me multiple times.
AS AN ABSOLUTE MINIMUM this app should check the last edited date of files in the cloud before overwriting newer changes with old versions. It should check for new changes to files when you open the app, instead of displaying stale data. Ideally it would offer the ability to merge the changes on save.",1.00,GB,2.38,2020-07-04T07:38:56,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lo4SSdUlPP9UVLvE9X0oFWg,en
又见翠翠,"Can't log in, internet connection. . . . . .",difference,登陆不上，网络连接。。。。。。,差,1.00,CN,2.38,2020-07-03T15:28:21,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LPw2TiE-d2EGHhf7SY3vIMQ,zh
Ольга Коротыгина,Subscription,"I was charged 349 rubles for a subscription, although the application has long been removed !!!
Can I somehow return this money?",Подписка,"У меня сняли 349 рублей за подписку, хотя приложение давно удалено!!! 
Можно как-то вернуть эти деньги?",1.00,RU,2.38,2020-07-03T01:41:03,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LTZFoTEj-eqHjcqeUJueenA,"ru;uk;bg"
rbwdysa,Why can't it be installed?,"I'm using the 4th generation iPad, but it's only on the phone and the pad doesn't go up at 60% even if I try it several times throughout the day. I was trying to use it as a pad..; Why is that?",왜 설치가 안되는 걸까요?,"아이패드 4세대 사용중입니다, 폰에만 깔리고 패드엔 하루종일 몇번을 시도해봐도 설치가 60%에서 올라가질 않습니다. 패드로 쓰려고 한건데..; 왜 그러는 걸까요?",1.00,KR,2.38,2020-07-02T14:42:22,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LP5gRFlwpAlHTkmqxIGBT7g,ko
Vdsyikbx,Um,"If not free, then bye",อืม,ไม่ฟรี ก็บายค่ะ,1.00,TH,2.38,2020-07-02T12:50:30,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L4M4gJ0Geq09LOiSJySXJ_g,th
JoreiJim,Application does not work,"It weighs a lot, does not allow to enter into the account, swears that there is no Internet, without accounting does not allow editing the document",Приложение не работает,"Весит много, не даёт войти в учётку, ругается что нет интернета, без учётки не позволяет редактировать документ",1.00,BY,2.38,2020-07-01T23:12:30,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LlUV3ZJtcmfFp6EXhZ4TORQ,ru
jan13578,No editing,Rubbish,No editing,Rubbish,1.00,GB,2.38,2020-07-01T18:27:59,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LrYABbL_mSNaFvMxVvCv9WA,"en;tl;af;jv;la"
Scoobydoo2deedoo,No longer free to use,"Been using this app for a couple of years on my iPhone. Use it for bills etc, useless to me now as I won’t be paying a monthly subscription. If there were a one time purchase option I would consider. Microsoft is officially redundant in my life now as no longer need any of their products. Good bye Microsoft.",No longer free to use,"Been using this app for a couple of years on my iPhone. Use it for bills etc, useless to me now as I won’t be paying a monthly subscription. If there were a one time purchase option I would consider. Microsoft is officially redundant in my life now as no longer need any of their products. Good bye Microsoft.",1.00,GB,2.38,2020-07-01T14:41:59,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LUCQlfJeixoWtcu6PayqJsA,en
breel91,Frustrating,Needs more options like desktop program.,Frustrating,Needs more options like desktop program.,1.00,AU,2.38,2020-07-01T11:21:35,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LV3sPNZv0YxmuvbGheRTEVg,"en;af;da;la;nn"
DarioLMS,It does not work,It does not work,No sirve,No sirve,1.00,MX,2.38,2020-07-01T03:10:53,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LGo5JuZvftVVS_rSPL-O4eg,"la;en;nn;pt;br"
TheGroundHog,Office 365 made it worse,"Everything is now very slow. Every now and then it loses my files. Good thing I have a manual backup. 
This is what you get when H1B workers take American jobs.",Office 365 made it worse,"Everything is now very slow. Every now and then it loses my files. Good thing I have a manual backup. 
This is what you get when H1B workers take American jobs.",1.00,US,2.38,2020-06-30T20:48:48,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lutsm9p-EPUhYi7kpSgbBWg,en
glem,Very bad,It doesn't work and crashes,Pessimo,Non funziona e si blocca,1.00,IT,2.38,2020-06-30T15:50:16,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LHzOyLuPijZeldn7TAX-jnw,it
Ansje37,Does not work without a Microsoft 365 subscription,"Very sorry that you only find out after installing that you cannot edit and save without a Microsoft 365 subscription. With such a subscription you also buy a lot of things that I do not use on my Ipad; like 1T cloud storage. I find it way too expensive for the few times I use excel. If I could buy the app for a one-time, reasonable amount, I would have, but this subscription is too expensive for only Excel use.",Werkt niet zonder microsoft 365 abonnement,"Erg jammer dat je er pas na het installeren achter komt dat je niet kunt bewerken en opslaan zonder zonder microsoft 365 abonnement. Met zo’n abonnement koop je er ook nog eens vanalles bij wat ik niet gebruik op mijn Ipad; zoals 1T cloud opslag. Ik vind het veel te duur voor die paar keer dat ik excel gebruik. Als ik de app tegen een eenmalig, schappelijk bedrag zou kunnen kopen had ik dat gedaan, maar dit abonnement is te duur voor enkel excel gebruik.",1.00,NL,2.38,2020-06-30T12:12:01,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LYJ0mTxqA307-3PCi6r2Y9Q,nl
geekax,Do not work with Apple iCloud !!!,"This is where we see the unbearable owner side ...
You can have a document on just about any cloud, but of course, not that of Apple. So exit iCloud. You must make a local copy first! Super not practical, unusable even.
You believe in it ? Microsoft did it!",Ne travaille pas avec Apple iCloud !!!,"C'est là où on voit le côté propriétaire insupportable...
On peut avoir un document sur à peu près n'importe quel Cloud, mais bien sûr, pas celui d'Apple. Donc exit iCloud. Il faut faire une copie locale d'abord ! Super pas pratique, inutilisable même. 
Vous y croyez ? Microsoft l'a fait !",1.00,FR,2.38,2020-06-30T10:23:51,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L7-NdJw5sg-Z2H8UEkytC4Q,fr
